Hex	Rank	Emoji	Year	Category	Subcategory	Name
\x{1F332}	386	🌲	2014	Animals & Nature	plant-other	evergreen tree
\x{1F434}	387	🐴	2014	Animals & Nature	animal-mammal	horse face
\x{1F35B}	388	🍛	2014	Food & Drink	food-asian	curry rice
\x{1F386}	389	🎆	2014	Activities	event	fireworks
\x{1F491}	390	💑	2014	People & Body	family	couple with heart
\x{1F35E}	391	🍞	2014	Food & Drink	food-prepared	bread
\x{1F36F}	392	🍯	2014	Food & Drink	food-sweet	honey pot
\x{2604 FE0F}	393	☄️	1995	Travel & Places	sky & weather	comet
\x{1F638}	394	😸	2014	Smileys & Emotion	cat-face	grinning cat with smiling eyes
\x{1F35A}	395	🍚	2014	Food & Drink	food-asian	cooked rice
\x{1F3AC}	396	🎬	2014	Objects	light & video	clapper board
\x{1F399 FE0F}	397	🎙️	2014	Objects	music	studio microphone
\x{1F1E8 1F1F4}	398	🇨🇴	2010	Flags	country-flag	flag: Colombia
\x{1F433}	399	🐳	2014	Animals & Nature	animal-marine	spouting whale
\x{1F980}	400	🦀	2015	Food & Drink	food-marine	crab
\x{1F943}	401	🥃	2016	Food & Drink	drink	tumbler glass
\x{1F538}	402	🔸	2015	Symbols	geometric	small orange diamond
\x{1F48A}	403	💊	2014	Objects	medical	pill
\x{1F40E}	404	🐎	2014	Animals & Nature	animal-mammal	horse
\x{1F379}	405	🍹	2014	Food & Drink	drink	tropical drink
\x{2666 FE0F}	406	♦️	1995	Activities	game	diamond suit
\x{1F52E}	407	🔮	2015	Activities	game	crystal ball
\x{1F468}	408	👨	2014	People & Body	person	man
\x{1F378}	409	🍸	2014	Food & Drink	drink	cocktail glass
\x{1F30F}	410	🌏	2010	Travel & Places	place-map	globe showing Asia-Australia
\x{1F474}	411	👴	2014	People & Body	person	old man
\x{1F9E2}	412	🧢	2017	Objects	clothing	billed cap
\x{1F43D}	413	🐽	2014	Animals & Nature	animal-mammal	pig nose
\x{1F414}	414	🐔	2014	Animals & Nature	animal-bird	chicken
\x{1F3BB}	415	🎻	2014	Objects	musical-instrument	violin
\x{2B06 FE0F}	416	⬆️	2003	Symbols	arrow	up arrow
\x{2702 FE0F}	417	✂️	1995	Objects	office	scissors
\x{1F46B}	418	👫	2014	People & Body	family	woman and man holding hands
\x{1F463}	419	👣	2014	People & Body	person-symbol	footprints
\x{1F42F}	420	🐯	2014	Animals & Nature	animal-mammal	tiger face
\x{1F3AE}	421	🎮	2014	Activities	game	video game
\x{1F375}	422	🍵	2014	Food & Drink	drink	teacup without handle
\x{1F426}	423	🐦	2014	Animals & Nature	animal-bird	bird
\x{1F1EC 1F1E7}	424	🇬🇧	2010	Flags	country-flag	flag: United Kingdom
\x{3030 FE0F}	425	〰️	1995	Symbols	other-symbol	wavy dash
\x{1F46D}	426	👭	2014	People & Body	family	women holding hands
\x{1F42C}	427	🐬	2014	Animals & Nature	animal-marine	dolphin
\x{1F35F}	428	🍟	2014	Food & Drink	food-prepared	french fries
\x{1F459}	429	👙	2014	Objects	clothing	bikini
\x{2716 FE0F}	430	✖️	1995	Symbols	other-symbol	multiplication sign
\x{1F4E9}	431	📩	2014	Objects	mail	envelope with arrow
\x{1F475}	432	👵	2014	People & Body	person	old woman
\x{1F368}	433	🍨	2014	Food & Drink	food-sweet	ice cream
\x{1F1EB 1F1F7}	434	🇫🇷	2010	Flags	country-flag	flag: France
\x{1F416}	435	🐖	2014	Animals & Nature	animal-mammal	pig
\x{271D FE0F}	436	✝️	1995	Symbols	religion	latin cross
\x{267B FE0F}	437	♻️	2002	Symbols	other-symbol	recycling symbol
\x{1F94A}	438	🥊	2016	Activities	sport	boxing glove
\x{1F985}	439	🦅	2016	Animals & Nature	animal-bird	eagle
\x{1F4AC}	440	💬	2014	Smileys & Emotion	emotion	speech balloon
\x{1F1E8 1F1F1}	441	🇨🇱	2010	Flags	country-flag	flag: Chile
\x{1F422}	442	🐢	2014	Animals & Nature	animal-reptile	turtle
\x{1F530}	443	🔰	2015	Symbols	other-symbol	Japanese symbol for beginner
\x{1F536}	444	🔶	2015	Symbols	geometric	large orange diamond
\x{1F397 FE0F}	445	🎗️	2014	Activities	event	reminder ribbon
\x{1F484}	446	💄	2014	Objects	clothing	lipstick
\x{1F460}	447	👠	2014	Objects	clothing	high-heeled shoe
\x{1F955}	448	🥕	2016	Food & Drink	food-vegetable	carrot
\x{2796}	449	➖	2010	Symbols	other-symbol	minus sign
\x{1F43A}	450	🐺	2014	Animals & Nature	animal-mammal	wolf
\x{1F4D6}	451	📖	2014	Objects	book-paper	open book
\x{1F34D}	452	🍍	2014	Food & Drink	food-fruit	pineapple
\x{1F303}	453	🌃	2010	Travel & Places	place-other	night with stars
\x{2734 FE0F}	454	✴️	1995	Symbols	other-symbol	eight-pointed star
\x{1F30C}	455	🌌	2010	Travel & Places	sky & weather	milky way
\x{1F413}	456	🐓	2014	Animals & Nature	animal-bird	rooster
\x{1F442}	457	👂	2014	People & Body	body-parts	ear
\x{1F364}	458	🍤	2014	Food & Drink	food-asian	fried shrimp
\x{1F410}	459	🐐	2014	Animals & Nature	animal-mammal	goat
\x{1F53B}	460	🔻	2015	Symbols	geometric	red triangle pointed down
\x{1F4BB}	461	💻	2014	Objects	computer	laptop
\x{1F990}	462	🦐	2016	Food & Drink	food-marine	shrimp
\x{1F1E9 1F1EA}	463	🇩🇪	2010	Flags	country-flag	flag: Germany
\x{1F31B}	464	🌛	2010	Travel & Places	sky & weather	first quarter moon face
\x{2198 FE0F}	465	↘️	1995	Symbols	arrow	down-right arrow
\x{270F FE0F}	466	✏️	1995	Objects	writing	pencil
\x{1F9D8}	467	🧘	2017	People & Body	person-resting	person in lotus position
\x{1F941}	468	🥁	2016	Objects	musical-instrument	drum
\x{1F3D6 FE0F}	469	🏖️	2014	Travel & Places	place-geographic	beach with umbrella
\x{269C FE0F}	470	⚜️	2005	Symbols	other-symbol	fleur-de-lis
\x{2755}	471	❕	2010	Symbols	other-symbol	white exclamation mark
\x{1F170 FE0F}	472	🅰️	2010	Symbols	alphanum	A button (blood type)
\x{1F6B4}	473	🚴	2010	People & Body	person-sport	person biking
\x{1F4A0}	474	💠	2014	Symbols	geometric	diamond with a dot
\x{3297 FE0F}	475	㊗️	1995	Symbols	alphanum	Japanese “congratulations” button
\x{1F419}	476	🐙	2014	Animals & Nature	animal-marine	octopus
\x{2663 FE0F}	477	♣️	1995	Activities	game	club suit
\x{1F361}	478	🍡	2014	Food & Drink	food-asian	dango
\x{23E9}	479	⏩	2010	Symbols	av-symbol	fast-forward button
\x{1F3A8}	480	🎨	2014	Activities	arts & crafts	artist palette
\x{1F420}	481	🐠	2014	Animals & Nature	animal-marine	tropical fish
\x{1F1F0 1F1F7}	482	🇰🇷	2010	Flags	country-flag	flag: South Korea
\x{1F357}	483	🍗	2014	Food & Drink	food-prepared	poultry leg
\x{1F6AE}	484	🚮	2010	Symbols	transport-sign	litter in bin sign
\x{25AB FE0F}	485	▫️	1995	Symbols	geometric	white small square
\x{1F32A FE0F}	486	🌪️	2014	Travel & Places	sky & weather	tornado
\x{1F63C}	487	😼	2014	Smileys & Emotion	cat-face	cat with wry smile
\x{1F464}	488	👤	2014	People & Body	person-symbol	bust in silhouette
\x{1F3CA}	489	🏊	2014	People & Body	person-sport	person swimming
\x{1F33D}	490	🌽	2014	Food & Drink	food-vegetable	ear of corn
\x{1F3A9}	491	🎩	2014	Objects	clothing	top hat
\x{1F1EA 1F1F8}	492	🇪🇸	2010	Flags	country-flag	flag: Spain
\x{1F3B9}	493	🎹	2014	Objects	musical-instrument	musical keyboard
\x{1F348}	494	🍈	2014	Food & Drink	food-fruit	melon
\x{25C0 FE0F}	495	◀️	1995	Symbols	av-symbol	reverse button
\x{2194 FE0F}	496	↔️	1995	Symbols	arrow	left-right arrow
\x{1F3E1}	497	🏡	2014	Travel & Places	place-building	house with garden
\x{1F1F5 1F1F0}	498	🇵🇰	2010	Flags	country-flag	flag: Pakistan
\x{1F387}	499	🎇	2014	Activities	event	sparkler
\x{1F969}	500	🥩	2017	Food & Drink	food-prepared	cut of meat
\x{1F41E}	501	🐞	2014	Animals & Nature	animal-bug	lady beetle
\x{33 FE0F 20E3}	502	3️⃣	2010	Symbols	keycap	keycap: 3
\x{2B05 FE0F}	503	⬅️	2003	Symbols	arrow	left arrow
\x{1F310}	504	🌐	2010	Travel & Places	place-map	globe with meridians
\x{2197 FE0F}	505	↗️	1995	Symbols	arrow	up-right arrow
\x{1F37D FE0F}	506	🍽️	2014	Food & Drink	dishware	fork and knife with plate
\x{1F9C0}	507	🧀	2015	Food & Drink	food-prepared	cheese wedge
\x{1F966}	508	🥦	2017	Food & Drink	food-vegetable	broccoli
\x{1F41C}	509	🐜	2014	Animals & Nature	animal-bug	ant
\x{2694 FE0F}	510	⚔️	2005	Objects	tool	crossed swords
\x{1F63A}	511	😺	2014	Smileys & Emotion	cat-face	grinning cat
\x{1F95E}	512	🥞	2016	Food & Drink	food-prepared	pancakes
\x{1F3C4}	513	🏄	2014	People & Body	person-sport	person surfing
\x{1F528}	514	🔨	2015	Objects	tool	hammer
\x{1F3DD FE0F}	515	🏝️	2014	Travel & Places	place-geographic	desert island
\x{1F506}	516	🔆	2015	Symbols	av-symbol	bright button
\x{1F465}	517	👥	2014	People & Body	person-symbol	busts in silhouette
\x{1F453}	518	👓	2014	Objects	clothing	glasses
\x{1F952}	519	🥒	2016	Food & Drink	food-vegetable	cucumber
\x{1F3C8}	520	🏈	2014	Activities	sport	american football
\x{1F1F5 1F1ED}	521	🇵🇭	2010	Flags	country-flag	flag: Philippines
\x{1F3CB FE0F}	522	🏋️	2014	People & Body	person-sport	person lifting weights
\x{30 FE0F 20E3}	523	0️⃣	2010	Symbols	keycap	keycap: 0
\x{1F698}	524	🚘	2010	Travel & Places	transport-ground	oncoming automobile
\x{1F996}	525	🦖	2017	Animals & Nature	animal-reptile	T-Rex
\x{1F315}	526	🌕	2010	Travel & Places	sky & weather	full moon
\x{1F3AD}	527	🎭	2014	Activities	arts & crafts	performing arts
\x{1F47E}	528	👾	2014	Smileys & Emotion	face-costume	alien monster
\x{1F373}	529	🍳	2014	Food & Drink	food-prepared	cooking
\x{1F3F5 FE0F}	530	🏵️	2014	Animals & Nature	plant-flower	rosette
\x{1F367}	531	🍧	2014	Food & Drink	food-sweet	shaved ice
\x{1F517}	532	🔗	2015	Objects	tool	link
\x{1F54B}	533	🕋	2014	Travel & Places	place-religious	kaaba
\x{2603 FE0F}	534	☃️	1995	Travel & Places	sky & weather	snowman
\x{1F305}	535	🌅	2010	Travel & Places	place-other	sunrise
\x{1F934}	536	🤴	2016	People & Body	person-role	prince
\x{1F596}	537	🖖	2014	People & Body	hand-fingers-open	vulcan salute
\x{1F40A}	538	🐊	2014	Animals & Nature	animal-reptile	crocodile
\x{1F418}	539	🐘	2014	Animals & Nature	animal-mammal	elephant
\x{1F324 FE0F}	540	🌤️	2014	Travel & Places	sky & weather	sun behind small cloud
\x{1F9F8}	541	🧸	2018	Activities	game	teddy bear
\x{1F951}	542	🥑	2016	Food & Drink	food-vegetable	avocado
\x{1F95A}	543	🥚	2016	Food & Drink	food-prepared	egg
\x{26C8 FE0F}	544	⛈️	2009	Travel & Places	sky & weather	cloud with lightning and rain
\x{1F435}	545	🐵	2014	Animals & Nature	animal-mammal	monkey face
\x{1F51C}	546	🔜	2015	Symbols	arrow	SOON arrow
\x{1F376}	547	🍶	2014	Food & Drink	drink	sake
\x{1F404}	548	🐄	2014	Animals & Nature	animal-mammal	cow
\x{1F1FB 1F1EA}	549	🇻🇪	2010	Flags	country-flag	flag: Venezuela
\x{1F42E}	550	🐮	2014	Animals & Nature	animal-mammal	cow face
\x{1F988}	551	🦈	2016	Animals & Nature	animal-marine	shark
\x{1F6B2}	552	🚲	2010	Travel & Places	transport-ground	bicycle
\x{26D4}	553	⛔	2009	Symbols	warning	no entry
\x{1F56F FE0F}	554	🕯️	2014	Objects	light & video	candle
\x{2795}	555	➕	2010	Symbols	other-symbol	plus sign
\x{1F53A}	556	🔺	2015	Symbols	geometric	red triangle pointed up
\x{1F487}	557	💇	2014	People & Body	person-activity	person getting haircut
\x{1F9E0}	558	🧠	2017	People & Body	body-parts	brain
\x{1F4FB}	559	📻	2014	Objects	music	radio
\x{1F964}	560	🥤	2017	Food & Drink	drink	cup with straw
\x{1F35D}	561	🍝	2014	Food & Drink	food-asian	spaghetti
\x{1F365}	562	🍥	2014	Food & Drink	food-asian	fish cake with swirl
\x{1F4B4}	563	💴	2014	Objects	money	yen banknote
\x{1F32C FE0F}	564	🌬️	2014	Travel & Places	sky & weather	wind face
\x{1F953}	565	🥓	2016	Food & Drink	food-prepared	bacon
\x{1F64D}	566	🙍	2014	People & Body	person-gesture	person frowning
\x{2693}	567	⚓	2005	Travel & Places	transport-water	anchor
\x{1F470}	568	👰	2014	People & Body	person-role	bride with veil
\x{1F402}	569	🐂	2014	Animals & Nature	animal-mammal	ox
\x{1F4FD FE0F}	570	📽️	2014	Objects	light & video	film projector
\x{1F3C5}	571	🏅	2014	Activities	award-medal	sports medal
\x{26C5}	572	⛅	2009	Travel & Places	sky & weather	sun behind cloud
\x{1F1E6 1F1EA}	573	🇦🇪	2010	Flags	country-flag	flag: United Arab Emirates
\x{1F1F5 1F1EA}	574	🇵🇪	2010	Flags	country-flag	flag: Peru
\x{1F9DC}	575	🧜	2017	People & Body	person-fantasy	merperson
\x{1F4EE}	576	📮	2014	Objects	mail	postbox
\x{26F3}	577	⛳	2009	Activities	sport	flag in hole
\x{1F53D}	578	🔽	2015	Symbols	av-symbol	downwards button
\x{1F682}	579	🚂	2010	Travel & Places	transport-ground	locomotive
\x{1F3CC FE0F}	580	🏌️	2014	People & Body	person-sport	person golfing
\x{1F407}	581	🐇	2014	Animals & Nature	animal-mammal	rabbit
\x{1F3CD FE0F}	582	🏍️	2014	Travel & Places	transport-ground	motorcycle
\x{1F3B2}	583	🎲	2014	Activities	game	game die
\x{1F95B}	584	🥛	2016	Food & Drink	drink	glass of milk
\x{1F3A3}	585	🎣	2014	Activities	sport	fishing pole
\x{1F471}	586	👱	2014	People & Body	person	person: blond hair
\x{1F38F}	587	🎏	2014	Activities	event	carp streamer
\x{1F577 FE0F}	588	🕷️	2014	Animals & Nature	animal-bug	spider
\x{1F98D}	589	🦍	2016	Animals & Nature	animal-mammal	gorilla
\x{1F518}	590	🔘	2015	Symbols	geometric	radio button
\x{1F405}	591	🐅	2014	Animals & Nature	animal-mammal	tiger
\x{1F3C7}	592	🏇	2014	People & Body	person-sport	horse racing
\x{1F510}	593	🔐	2015	Objects	lock	locked with key
\x{1F3E9}	594	🏩	2014	Travel & Places	place-building	love hotel
\x{1F47A}	595	👺	2014	Smileys & Emotion	face-costume	goblin
\x{1F171 FE0F}	596	🅱️	2010	Symbols	alphanum	B button (blood type)
\x{1F699}	597	🚙	2010	Travel & Places	transport-ground	sport utility vehicle
\x{1F427}	598	🐧	2014	Animals & Nature	animal-bird	penguin
\x{2696 FE0F}	599	⚖️	2005	Objects	tool	balance scale
\x{1F383}	600	🎃	2014	Activities	event	jack-o-lantern
\x{1F304}	601	🌄	2010	Travel & Places	place-other	sunrise over mountains
\x{1F3BE}	602	🎾	2014	Activities	sport	tennis
\x{1F41A}	603	🐚	2014	Animals & Nature	animal-marine	spiral shell
\x{1F3BA}	604	🎺	2014	Objects	musical-instrument	trumpet
\x{2747 FE0F}	605	❇️	1995	Symbols	other-symbol	sparkle
\x{1F3AB}	606	🎫	2014	Activities	event	ticket
\x{231A}	607	⌚	1995	Travel & Places	time	watch
\x{1F30B}	608	🌋	2010	Travel & Places	place-geographic	volcano
\x{1F492}	609	💒	2014	Travel & Places	place-building	wedding
\x{1F473}	610	👳	2014	People & Body	person-role	person wearing turban
\x{274E}	611	❎	2010	Symbols	other-symbol	cross mark button
\x{1F45F}	612	👟	2014	Objects	clothing	running shoe
\x{1F443}	613	👃	2014	People & Body	body-parts	nose
\x{1F6CC}	614	🛌	2014	People & Body	person-resting	person in bed
\x{1F693}	615	🚓	2010	Travel & Places	transport-ground	police car
\x{23EC}	616	⏬	2010	Symbols	av-symbol	fast down button
\x{1F4C8}	617	📈	2014	Objects	office	chart increasing
\x{26C4}	618	⛄	2009	Travel & Places	sky & weather	snowman without snow
\x{23F1 FE0F}	619	⏱️	2010	Travel & Places	time	stopwatch
\x{1F63E}	620	😾	2014	Smileys & Emotion	cat-face	pouting cat
\x{1F6EB}	621	🛫	2014	Travel & Places	transport-air	airplane departure
\x{1F931}	622	🤱	2017	People & Body	person-role	breast-feeding
\x{1F350}	623	🍐	2014	Food & Drink	food-fruit	pear
\x{262E FE0F}	624	☮️	1995	Symbols	religion	peace symbol
\x{1F683}	625	🚃	2010	Travel & Places	transport-ground	railway car
\x{23F3}	626	⏳	2010	Travel & Places	time	hourglass not done
\x{1F31C}	627	🌜	2010	Travel & Places	sky & weather	last quarter moon face
\x{1F4F9}	628	📹	2014	Objects	light & video	video camera
\x{1F41B}	629	🐛	2014	Animals & Nature	animal-bug	bug
\x{1F454}	630	👔	2014	Objects	clothing	necktie
\x{1F457}	631	👗	2014	Objects	clothing	dress
\x{1F40C}	632	🐌	2014	Animals & Nature	animal-bug	snail
\x{1F3B1}	633	🎱	2014	Activities	game	pool 8 ball
\x{1F330}	634	🌰	2014	Food & Drink	food-vegetable	chestnut
\x{1F32E}	635	🌮	2014	Food & Drink	food-prepared	taco
\x{1F575 FE0F}	636	🕵️	2014	People & Body	person-role	detective
\x{1F505}	637	🔅	2015	Symbols	av-symbol	dim button
\x{2709 FE0F}	638	✉️	1995	Objects	mail	envelope
\x{1F1EA 1F1EC}	639	🇪🇬	2010	Flags	country-flag	flag: Egypt
\x{1F691}	640	🚑	2010	Travel & Places	transport-ground	ambulance
\x{1F4E6}	641	📦	2014	Objects	mail	package
\x{1F925}	642	🤥	2016	Smileys & Emotion	face-neutral-skeptical	lying face
\x{1F504}	643	🔄	2015	Symbols	arrow	counterclockwise arrows button
\x{1F933}	644	🤳	2016	People & Body	hand-prop	selfie
\x{1F4B2}	645	💲	2014	Objects	money	heavy dollar sign
\x{1F38B}	646	🎋	2014	Activities	event	tanabata tree
\x{1F5D3 FE0F}	647	🗓️	2014	Objects	office	spiral calendar
\x{1F916}	648	🤖	2015	Smileys & Emotion	face-costume	robot
\x{1F954}	649	🥔	2016	Food & Drink	food-vegetable	potato
\x{1F197}	650	🆗	2010	Symbols	alphanum	OK button
\x{1F511}	651	🔑	2015	Objects	lock	key
\x{1F1E8 1F1F3}	652	🇨🇳	2010	Flags	country-flag	flag: China
\x{1F424}	653	🐤	2014	Animals & Nature	animal-bird	baby chick
\x{34 FE0F 20E3}	654	4️⃣	2010	Symbols	keycap	keycap: 4
\x{1F411}	655	🐑	2014	Animals & Nature	animal-mammal	ewe
\x{27B0}	656	➰	2010	Symbols	other-symbol	curly loop
\x{1F469 200D 1F393}	657	👩‍🎓	2016	People & Body	person-role	woman student
\x{2602 FE0F}	658	☂️	1995	Travel & Places	sky & weather	umbrella
\x{1F1E6 1F1F9}	659	🇦🇹	2010	Flags	country-flag	flag: Austria
\x{1F986}	660	🦆	2016	Animals & Nature	animal-bird	duck
\x{1F68C}	661	🚌	2010	Travel & Places	transport-ground	bus
\x{1F4BF}	662	💿	2014	Objects	computer	optical disk
\x{1F3E5}	663	🏥	2014	Travel & Places	place-building	hospital
\x{1F40B}	664	🐋	2014	Animals & Nature	animal-marine	whale
\x{1F692}	665	🚒	2010	Travel & Places	transport-ground	fire engine
\x{1F3D0}	666	🏐	2014	Activities	sport	volleyball
\x{1F1EA 1F1E8}	667	🇪🇨	2010	Flags	country-flag	flag: Ecuador
\x{1F950}	668	🥐	2016	Food & Drink	food-prepared	croissant
\x{1F3B7}	669	🎷	2014	Objects	musical-instrument	saxophone
\x{1F5FD}	670	🗽	2014	Travel & Places	place-building	Statue of Liberty
\x{1F5E1 FE0F}	671	🗡️	2014	Objects	tool	dagger
\x{1F3CF}	672	🏏	2014	Activities	sport	cricket game
\x{1F42D}	673	🐭	2014	Animals & Nature	animal-mammal	mouse face
\x{1F9FF}	674	🧿	2018	Activities	game	nazar amulet
\x{1F64E}	675	🙎	2014	People & Body	person-gesture	person pouting
\x{1F311}	676	🌑	2010	Travel & Places	sky & weather	new moon
\x{1F694}	677	🚔	2010	Travel & Places	transport-ground	oncoming police car
\x{1F1EE 1F1E9}	678	🇮🇩	2010	Flags	country-flag	flag: Indonesia
\x{1F6BF}	679	🚿	2010	Objects	household	shower
\x{1F95D}	680	🥝	2016	Food & Drink	food-fruit	kiwi fruit
\x{1F54C}	681	🕌	2014	Travel & Places	place-religious	mosque
\x{1F400}	682	🐀	2014	Animals & Nature	animal-mammal	rat
\x{1F6E1 FE0F}	683	🛡️	2014	Objects	tool	shield
\x{1F512}	684	🔒	2015	Objects	lock	locked
\x{2733 FE0F}	685	✳️	1995	Symbols	other-symbol	eight-spoked asterisk
\x{1F576 FE0F}	686	🕶️	2014	Objects	clothing	sunglasses
\x{1F469 200D 2764 FE0F 200D 1F48B 200D 1F469}	687	👩‍❤️‍💋‍👩	2010	People & Body	family	kiss: woman, woman
\x{1F39F FE0F}	688	🎟️	2014	Activities	event	admission tickets
\x{1F409}	689	🐉	2014	Animals & Nature	animal-reptile	dragon
\x{267E FE0F}	690	♾️	2018	Symbols	other-symbol	infinity
\x{1F9C1}	691	🧁	2018	Food & Drink	food-sweet	cupcake
\x{1F531}	692	🔱	2015	Symbols	other-symbol	trident emblem
\x{1F50E}	693	🔎	2015	Objects	light & video	magnifying glass tilted right
\x{1F1E6 1F1FA}	694	🇦🇺	2010	Flags	country-flag	flag: Australia
\x{26B0 FE0F}	695	⚰️	2005	Objects	other-object	coffin
\x{1F429}	696	🐩	2014	Animals & Nature	animal-mammal	poodle
\x{1F991}	697	🦑	2016	Food & Drink	food-marine	squid
\x{1F9DF}	698	🧟	2017	People & Body	person-fantasy	zombie
\x{1F195}	699	🆕	2010	Symbols	alphanum	NEW button
\x{1F98A}	700	🦊	2016	Animals & Nature	animal-mammal	fox
\x{1F455}	701	👕	2014	Objects	clothing	t-shirt
\x{1F3F9}	702	🏹	2014	Objects	tool	bow and arrow
\x{1F1E9 1F1FF}	703	🇩🇿	2010	Flags	country-flag	flag: Algeria
\x{1F46C}	704	👬	2014	People & Body	family	men holding hands
\x{1F371}	705	🍱	2014	Food & Drink	food-asian	bento box
\x{1F4F0}	706	📰	2014	Objects	book-paper	newspaper
\x{1F94B}	707	🥋	2016	Activities	sport	martial arts uniform
\x{1F6A4}	708	🚤	2010	Travel & Places	transport-water	speedboat
\x{1F3F0}	709	🏰	2014	Travel & Places	place-building	castle
\x{35 FE0F 20E3}	710	5️⃣	2010	Symbols	keycap	keycap: 5
\x{1F989}	711	🦉	2016	Animals & Nature	animal-bird	owl
\x{1F6A2}	712	🚢	2010	Travel & Places	transport-water	ship
\x{1F328 FE0F}	713	🌨️	2014	Travel & Places	sky & weather	cloud with snow
\x{1F4C6}	714	📆	2014	Objects	office	tear-off calendar
\x{1F5DD FE0F}	715	🗝️	2014	Objects	lock	old key
\x{1F38C}	716	🎌	2014	Flags	flag	crossed flags
\x{1F9D4}	717	🧔	2017	People & Body	person	man: beard
\x{1F4B3}	718	💳	2014	Objects	money	credit card
\x{1F9B7}	719	🦷	2018	People & Body	body-parts	tooth
\x{1F1FA 1F1FE}	720	🇺🇾	2010	Flags	country-flag	flag: Uruguay
\x{1F957}	721	🥗	2016	Food & Drink	food-prepared	green salad
\x{262F FE0F}	722	☯️	1995	Symbols	religion	yin yang
\x{2699 FE0F}	723	⚙️	2005	Objects	tool	gear
\x{1F4B6}	724	💶	2014	Objects	money	euro banknote
\x{26E9 FE0F}	725	⛩️	2009	Travel & Places	place-religious	shinto shrine
\x{1F5FB}	726	🗻	2014	Travel & Places	place-geographic	mount fuji
\x{2712 FE0F}	727	✒️	1995	Objects	writing	black nib
\x{1F1FA 1F1F2}	728	🇺🇲	2010	Flags	country-flag	flag: U.S. Outlying Islands
\x{1F1F5 1F1F9}	729	🇵🇹	2010	Flags	country-flag	flag: Portugal
\x{1F360}	730	🍠	2014	Food & Drink	food-asian	roasted sweet potato
\x{1F477}	731	👷	2014	People & Body	person-role	construction worker
\x{1F6CD FE0F}	732	🛍️	2014	Objects	clothing	shopping bags
\x{1F3CE FE0F}	733	🏎️	2014	Travel & Places	transport-ground	racing car
\x{1F51B}	734	🔛	2015	Symbols	arrow	ON! arrow
\x{1F519}	735	🔙	2015	Symbols	arrow	BACK arrow
\x{1F5FC}	736	🗼	2014	Travel & Places	place-building	Tokyo tower
\x{1F396 FE0F}	737	🎖️	2014	Activities	award-medal	military medal
\x{1F6BA}	738	🚺	2010	Symbols	transport-sign	women’s room
\x{1F439}	739	🐹	2014	Animals & Nature	animal-mammal	hamster
\x{1F956}	740	🥖	2016	Food & Drink	food-prepared	baguette bread
\x{1F1F5 1F1F7}	741	🇵🇷	2010	Flags	country-flag	flag: Puerto Rico
\x{1F3A1}	742	🎡	2014	Travel & Places	place-other	ferris wheel
\x{1F50D}	743	🔍	2015	Objects	light & video	magnifying glass tilted left
\x{1F3DF FE0F}	744	🏟️	2014	Travel & Places	place-building	stadium
\x{1F5A5 FE0F}	745	🖥️	2014	Objects	computer	desktop computer
\x{1F32D}	746	🌭	2014	Food & Drink	food-prepared	hot dog
\x{1F1F9 1F1ED}	747	🇹🇭	2010	Flags	country-flag	flag: Thailand
\x{2721 FE0F}	748	✡️	1995	Symbols	religion	star of David
\x{1F3D2}	749	🏒	2014	Activities	sport	ice hockey
\x{1F6C0}	750	🛀	2010	People & Body	person-resting	person taking bath
\x{1F4C5}	751	📅	2014	Objects	office	calendar
\x{1F58B FE0F}	752	🖋️	2014	Objects	writing	fountain pen
\x{1F1F8 1F1EA}	753	🇸🇪	2010	Flags	country-flag	flag: Sweden
\x{1F39E FE0F}	754	🎞️	2014	Objects	light & video	film frames
\x{1F3AA}	755	🎪	2014	Travel & Places	place-other	circus tent
\x{1F359}	756	🍙	2014	Food & Drink	food-asian	rice ball
\x{1F6C1}	757	🛁	2010	Objects	household	bathtub
\x{1F4D5}	758	📕	2014	Objects	book-paper	closed book
\x{1F452}	759	👒	2014	Objects	clothing	woman’s hat
\x{1F587 FE0F}	760	🖇️	2014	Objects	office	linked paperclips
\x{2754}	761	❔	2010	Symbols	other-symbol	white question mark
\x{1F384}	762	🎄	2014	Activities	event	Christmas tree
\x{1F578 FE0F}	763	🕸️	2014	Animals & Nature	animal-bug	spider web
\x{1F95C}	764	🥜	2016	Food & Drink	food-vegetable	peanuts
\x{1F574 FE0F}	765	🕴️	2014	People & Body	person-activity	man in suit levitating
\x{1F95F}	766	🥟	2017	Food & Drink	food-asian	dumpling
\x{2199 FE0F}	767	↙️	1995	Symbols	arrow	down-left arrow
\x{25FE}	768	◾	2002	Symbols	geometric	black medium-small square
\x{1F432}	769	🐲	2014	Animals & Nature	animal-reptile	dragon face
\x{1F3F4}	770	🏴	2014	Flags	flag	black flag
\x{1F98C}	771	🦌	2016	Animals & Nature	animal-mammal	deer
\x{1F194}	772	🆔	2010	Symbols	alphanum	ID button
\x{1F45B}	773	👛	2014	Objects	clothing	purse
\x{1F69A}	774	🚚	2010	Travel & Places	transport-ground	delivery truck
\x{21AA FE0F}	775	↪️	1995	Symbols	arrow	left arrow curving right
\x{1F1EC 1F1F7}	776	🇬🇷	2010	Flags	country-flag	flag: Greece
\x{1F4FF}	777	📿	2015	Objects	clothing	prayer beads
\x{1F32B FE0F}	778	🌫️	2014	Travel & Places	sky & weather	fog
\x{1F302}	779	🌂	2010	Travel & Places	sky & weather	closed umbrella
\x{1F549 FE0F}	780	🕉️	2014	Symbols	religion	om
